172.20.151.127 - - [18/Nov/2016:11:08:33 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 1278
172.20.151.127 - - [18/Nov/2016:11:08:33 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:08:33 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:08:51 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 1278
172.20.151.127 - - [18/Nov/2016:11:08:51 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:08:51 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:09:20 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 1277
172.20.151.127 - - [18/Nov/2016:11:09:20 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:09:20 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:23:49 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2260
172.20.151.127 - - [18/Nov/2016:11:23:49 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:24:30 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2259
172.20.151.127 - - [18/Nov/2016:11:24:30 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:25:32 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2182
172.20.151.127 - - [18/Nov/2016:11:25:32 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:26:24 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2210
172.20.151.127 - - [18/Nov/2016:11:26:24 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:27:25 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2239
172.20.151.127 - - [18/Nov/2016:11:27:25 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:27:25 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:28:34 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2248
172.20.151.127 - - [18/Nov/2016:11:28:34 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:28:34 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:31:19 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2257
172.20.151.127 - - [18/Nov/2016:11:31:19 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:31:19 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:32:21 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2248
172.20.151.127 - - [18/Nov/2016:11:32:21 -0500] "GET /avienMigration/jquery-3.1.1.min.js HTTP/1.1" 304 -
172.20.151.127 - - [18/Nov/2016:11:32:21 -0500] "GET /avienMigration/GIS.json HTTP/1.1" 200 124632503
172.20.151.127 - - [18/Nov/2016:11:33:07 -0500] "GET /avienMigration/temp.html HTTP/1.1" 200 2248
